count,state,adults,men,women,men_working,women_working,men_nonworking,women_nonworking
1,All states (average),22,27,18,28,20,21,14
2,Alabama,19,24,14,25,15,23,13
3,Alaska,27,33,23,31,24,33,17
4,Arizona,26,29,23,31,26,22,16
5,Arkansas,15,19,11,21,13,14,9
6,California,24,28,19,29,21,24,15
7,Colorado,32,33,31,34,33,26,27
8,Connecticut,24,28,21,29,24,22,13
9,Delaware,20,24,15,23,17,25,11
10,District of Columbia,30,40,22,40,24,43,18
11,Florida,21,27,15,27,17,25,12
12,Georgia,20,27,14,29,15,21,12
13,Hawaii,24,31,18,32,19,25,14
14,Idaho,31,35,27,36,27,34,28
15,Illinois,24,28,20,29,24,21,15
16,Indiana,15,20,10,21,12,11,5
17,Iowa,22,24,19,23,20,23,16
18,Kansas,23,24,21,26,23,16,16
19,Kentucky,14,17,11,21,14,9,5
20,Louisiana,20,23,17,25,20,15,14
21,Maine,24,27,20,32,23,NA,11
22,Maryland,22,29,16,29,18,26,11
23,Massachusetts,29,32,26,34,28,25,18
24,Michigan,23,28,18,30,21,21,13
25,Minnesota,27,31,24,30,26,32,15
26,Mississippi,13,17,9,19,10,13,8
27,Missouri,23,29,17,31,18,20,17
28,Montana,20,20,20,24,25,10,NA
29,Nebraska,23,26,21,25,22,33,18
30,Nevada,23,25,21,25,22,22,19
31,New Hampshire,30,30,31,30,32,29,28
32,New Jersey,21,25,16,27,16,17,13
33,New Mexico,23,27,18,29,21,19,14
34,New York,18,22,15,25,17,15,11
35,North Carolina,22,26,19,27,19,19,17
36,North Dakota,20,21,18,22,20,NA,NA
37,Ohio,23,29,18,31,21,24,13
38,Oklahoma,19,24,14,24,14,21,14
39,Oregon,25,28,22,30,26,21,15
40,Pennsylvania,25,29,21,31,23,19,18
41,Rhode Island,25,30,21,32,26,22,12
42,South Carolina,14,20,10,21,12,12,6
43,South Dakota,17,17,15,17,16,28,NA
44,Tennessee,17,20,14,22,15,10,12
45,Texas,23,28,19,28,21,25,14
46,Utah,28,29,27,30,26,22,27
47,Vermont,29,35,23,40,26,21,15
48,Virginia,24,29,19,32,20,16,16
49,Washington,28,31,26,33,29,25,20
50,West Virginia,16,19,14,21,18,14,8
51,Wisconsin,23,26,21,27,23,21,14
52,Wyoming,27,29,24,31,29,17,13
